               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10535,            0.060657,            0.049087,             0.44782,             0.13818,            0.064297,            0.018738,            0.084832,            0.050115,            0.039802,            0.070811,           0.0032432,           0.0032432
                   1,            0.093263,             0.05267,             0.03524,             0.52412,             0.26905,             0.11058,             0.02649,             0.09686,            0.035819,                0.03,            0.040778,            0.006544,            0.006544
                   2,             0.10002,            0.038509,            0.029172,             0.12835,             0.35234,             0.16668,            0.041984,             0.10304,            0.026982,            0.024748,            0.010713,           0.0098118,           0.0098118
                   3,            0.092993,              0.0379,            0.025808,             0.53122,             0.27953,             0.15715,            0.047292,            0.095793,            0.027406,            0.023706,           0.0098515,           0.0098515,           0.0098515
                   4,            0.086863,            0.035273,            0.024344,             0.58668,              0.1952,             0.19927,            0.060938,            0.087004,            0.026146,            0.020438,           0.0098515,           0.0098515,           0.0098515
                   5,            0.077525,            0.037404,            0.021671,             0.65609,             0.54661,             0.51054,             0.18944,            0.070124,            0.027415,            0.018548,            0.009802,            0.009802,            0.009802
                   6,            0.077338,            0.035731,            0.020521,             0.71908,             0.43448,             0.50091,             0.20866,            0.064262,            0.025706,            0.017569,           0.0097525,           0.0097525,           0.0097525
                   7,             0.06907,            0.032718,            0.018124,             0.70072,             0.60518,             0.60391,              0.2877,            0.057212,            0.024207,            0.016085,            0.009703,            0.009703,            0.009703
                   8,            0.063018,            0.035651,            0.016436,             0.72588,             0.62829,             0.61092,             0.23164,            0.058652,            0.024288,            0.015112,           0.0096535,           0.0096535,           0.0096535
                   9,            0.061059,             0.03304,             0.01649,             0.63962,             0.67333,             0.61394,             0.24719,            0.056689,            0.023845,            0.014338,            0.009604,            0.009604,            0.009604
                  10,            0.059338,            0.034544,            0.014844,             0.72406,             0.68721,             0.67636,             0.29399,             0.05263,            0.023651,            0.013515,           0.0095545,           0.0095545,           0.0095545
                  11,            0.058273,             0.03261,            0.014191,             0.61313,             0.66276,              0.7169,             0.34726,            0.053154,            0.022897,            0.012755,            0.009505,            0.009505,            0.009505
                  12,            0.055393,            0.032189,            0.013459,             0.68081,             0.64275,              0.7448,             0.32672,            0.052511,            0.022709,            0.012439,           0.0094555,           0.0094555,           0.0094555
                  13,            0.052903,            0.031406,            0.012843,             0.66454,             0.73666,             0.70974,             0.33859,             0.04945,            0.022314,            0.011773,            0.009406,            0.009406,            0.009406
                  14,            0.055326,            0.031518,            0.012739,             0.71918,             0.73577,              0.7702,             0.33771,            0.050254,            0.022676,            0.011535,           0.0093565,           0.0093565,           0.0093565
                  15,            0.051775,            0.032257,            0.012353,             0.82659,             0.76164,             0.81098,              0.4409,             0.04278,             0.02269,            0.011346,            0.009307,            0.009307,            0.009307
                  16,            0.052047,            0.031725,            0.012163,             0.72295,             0.81053,             0.79081,             0.36778,            0.048036,            0.022717,             0.01101,           0.0092575,           0.0092575,           0.0092575
                  17,            0.051583,            0.030418,            0.011552,             0.80383,             0.80294,             0.82406,             0.40293,            0.047183,            0.022347,            0.010575,            0.009208,            0.009208,            0.009208
                  18,            0.048059,            0.031714,            0.011031,             0.69144,             0.85245,             0.77571,             0.39271,            0.044159,            0.022359,            0.010109,           0.0091585,           0.0091585,           0.0091585
                  19,            0.048366,            0.031277,            0.010683,             0.82358,             0.83525,             0.87676,             0.45271,            0.041686,            0.021969,             0.01007,            0.009109,            0.009109,            0.009109
                  20,            0.047255,            0.029341,            0.010755,             0.77299,             0.87878,             0.85291,             0.43762,            0.043206,            0.022308,           0.0099693,           0.0090595,           0.0090595,           0.0090595
                  21,            0.046877,            0.030473,            0.010435,              0.7337,             0.84872,              0.8223,             0.35656,            0.046922,            0.022122,           0.0097664,             0.00901,             0.00901,             0.00901
                  22,            0.049995,            0.030072,            0.010316,             0.85703,             0.87336,             0.88397,             0.41788,             0.04553,            0.021755,           0.0095964,           0.0089605,           0.0089605,           0.0089605
                  23,            0.049922,            0.031468,            0.010517,             0.78915,             0.89126,             0.85262,             0.39012,            0.046555,            0.022483,           0.0093902,            0.008911,            0.008911,            0.008911
                  24,            0.046811,            0.029776,            0.010124,             0.86806,             0.90054,             0.90196,             0.46616,            0.041488,            0.022515,           0.0093899,           0.0088615,           0.0088615,           0.0088615
                  25,            0.045792,            0.029636,            0.010502,             0.90065,             0.88991,             0.91682,             0.44325,            0.041744,            0.021866,           0.0090505,            0.008812,            0.008812,            0.008812
                  26,            0.043225,            0.029613,            0.009857,             0.91652,             0.90467,             0.93377,             0.47389,            0.039958,            0.021524,           0.0090926,           0.0087625,           0.0087625,           0.0087625
                  27,            0.047298,            0.029491,           0.0095927,              0.7466,              0.8746,             0.81771,              0.4076,            0.045045,            0.021853,           0.0092032,            0.008713,            0.008713,            0.008713
                  28,            0.045652,            0.029075,           0.0094707,             0.84423,             0.89418,              0.8857,              0.4523,            0.041596,            0.021519,           0.0091509,           0.0086635,           0.0086635,           0.0086635
                  29,            0.042157,            0.028075,           0.0095592,              0.9131,             0.90565,              0.9285,             0.47036,            0.042372,            0.021795,           0.0090091,            0.008614,            0.008614,            0.008614
                  30,            0.045243,            0.029466,           0.0093534,             0.94586,             0.90666,             0.94633,             0.48643,             0.03877,             0.02172,             0.00898,           0.0085645,           0.0085645,           0.0085645
                  31,            0.043957,            0.027526,            0.008812,             0.87935,             0.88073,             0.90684,             0.48013,            0.041201,            0.021558,           0.0089923,            0.008515,            0.008515,            0.008515
                  32,             0.04382,             0.02974,           0.0093008,             0.91308,             0.91094,             0.94035,             0.48595,            0.040302,            0.021501,           0.0087346,           0.0084655,           0.0084655,           0.0084655
                  33,            0.044556,            0.028236,           0.0093148,             0.93324,             0.91471,             0.94974,             0.50256,            0.039256,            0.021271,           0.0086794,            0.008416,            0.008416,            0.008416
                  34,             0.04211,            0.029133,           0.0091941,             0.93272,             0.94216,             0.95051,             0.53286,            0.037499,            0.020872,           0.0084938,           0.0083665,           0.0083665,           0.0083665
                  35,            0.042314,            0.028154,           0.0082466,             0.92265,             0.93182,             0.94337,             0.43468,            0.043969,            0.021495,            0.008473,            0.008317,            0.008317,            0.008317
                  36,            0.043944,            0.026718,           0.0086569,             0.90439,             0.93948,             0.94204,              0.4904,            0.040405,            0.021098,           0.0085967,           0.0082675,           0.0082675,           0.0082675
                  37,            0.041221,            0.027366,           0.0090146,             0.89999,             0.90469,             0.90552,             0.47464,            0.039194,            0.021279,           0.0083965,            0.008218,            0.008218,            0.008218
                  38,            0.042928,             0.02853,           0.0091166,             0.93647,             0.92164,             0.95027,             0.52223,            0.037824,            0.021267,           0.0084132,           0.0081685,           0.0081685,           0.0081685
                  39,            0.040726,            0.029361,           0.0083456,             0.95243,             0.93559,             0.95283,             0.50303,            0.039148,            0.020717,           0.0085612,            0.008119,            0.008119,            0.008119
                  40,            0.039604,            0.030388,           0.0085184,             0.93672,             0.93375,             0.95213,             0.51817,            0.040261,            0.021474,           0.0084928,           0.0080695,           0.0080695,           0.0080695
                  41,            0.040433,            0.026805,           0.0079548,             0.95843,             0.92813,             0.95754,              0.5224,            0.038411,            0.021125,            0.008517,             0.00802,             0.00802,             0.00802
                  42,            0.037731,            0.026005,           0.0077935,             0.94292,             0.91286,             0.94037,             0.53724,            0.037509,            0.020782,            0.008441,           0.0079705,           0.0079705,           0.0079705
                  43,            0.040142,             0.02858,            0.008737,             0.88502,             0.89899,             0.89544,             0.49214,             0.03818,            0.021264,           0.0084322,            0.007921,            0.007921,            0.007921
                  44,            0.039539,            0.026306,           0.0079584,             0.93604,             0.92958,             0.93945,             0.52377,            0.037379,            0.021098,           0.0084271,           0.0078715,           0.0078715,           0.0078715
                  45,            0.038211,            0.028181,           0.0081758,             0.94025,             0.88987,             0.94195,             0.54723,            0.036984,            0.021733,           0.0082598,            0.007822,            0.007822,            0.007822
                  46,            0.039426,            0.027797,            0.008247,             0.90845,             0.89114,             0.94307,             0.52808,            0.037454,            0.021632,           0.0081022,           0.0077725,           0.0077725,           0.0077725
                  47,            0.038125,            0.027388,           0.0081906,             0.89215,             0.88962,             0.93444,             0.52169,            0.038427,            0.021356,            0.008228,            0.007723,            0.007723,            0.007723
                  48,            0.038412,             0.02796,           0.0076562,             0.88195,              0.9099,             0.91464,             0.50241,            0.038493,            0.021436,           0.0082117,           0.0076735,           0.0076735,           0.0076735
                  49,            0.039874,            0.025966,           0.0084271,             0.91082,             0.90113,             0.93225,             0.49901,            0.039262,            0.021527,           0.0083926,            0.007624,            0.007624,            0.007624
                  50,            0.037609,            0.026036,           0.0081055,             0.91608,              0.9149,             0.95623,             0.54151,            0.036722,            0.021355,            0.008218,           0.0075745,           0.0075745,           0.0075745
                  51,            0.037955,            0.026286,           0.0076199,             0.90788,             0.92778,             0.93521,             0.52577,            0.037042,            0.021508,           0.0082241,            0.007525,            0.007525,            0.007525
                  52,             0.03908,            0.026811,           0.0076466,             0.91662,             0.92926,              0.9368,             0.52332,            0.037215,            0.021425,           0.0081026,           0.0074755,           0.0074755,           0.0074755
                  53,            0.037468,            0.027475,           0.0079423,             0.95014,             0.93397,             0.95086,             0.55445,            0.037597,            0.021432,           0.0081211,            0.007426,            0.007426,            0.007426
                  54,            0.040717,            0.027859,           0.0080965,             0.92617,             0.91762,             0.94896,             0.51232,            0.039446,            0.021478,           0.0081261,           0.0073765,           0.0073765,           0.0073765
                  55,            0.038972,            0.027372,           0.0081713,             0.94669,             0.91752,             0.95272,             0.51762,            0.039125,            0.021562,           0.0081808,            0.007327,            0.007327,            0.007327
                  56,            0.039339,            0.027993,           0.0078581,             0.93985,             0.92773,             0.94567,             0.52598,            0.038588,            0.021448,           0.0080706,           0.0072775,           0.0072775,           0.0072775
                  57,            0.040366,            0.029307,           0.0078639,             0.93401,               0.923,              0.9465,             0.54116,            0.036981,            0.021532,           0.0082525,            0.007228,            0.007228,            0.007228
                  58,             0.03643,             0.02645,           0.0076833,             0.95643,             0.91317,             0.95165,             0.55665,            0.036702,            0.021884,           0.0080141,           0.0071785,           0.0071785,           0.0071785
                  59,            0.037382,             0.02595,           0.0083422,             0.93793,             0.91848,             0.93801,             0.56209,            0.037186,            0.021727,           0.0078751,            0.007129,            0.007129,            0.007129
                  60,            0.036493,            0.026652,           0.0076031,             0.95381,             0.93536,             0.95064,             0.52612,            0.036499,            0.021737,           0.0080296,           0.0070795,           0.0070795,           0.0070795
                  61,            0.036032,            0.026379,           0.0080213,             0.95417,             0.92503,              0.9508,             0.55519,            0.036063,            0.022087,           0.0079246,             0.00703,             0.00703,             0.00703
                  62,            0.037163,            0.027384,           0.0073991,             0.94064,              0.9286,             0.95058,             0.55164,            0.037114,            0.022185,           0.0079585,           0.0069805,           0.0069805,           0.0069805
                  63,            0.037692,            0.026198,           0.0076729,              0.9196,             0.93072,             0.94697,             0.54764,            0.036569,            0.021687,           0.0082127,            0.006931,            0.006931,            0.006931
                  64,            0.037653,            0.026584,           0.0077072,             0.92573,             0.92557,             0.94578,             0.53017,            0.036841,            0.021677,           0.0081439,           0.0068815,           0.0068815,           0.0068815
                  65,            0.040181,            0.027881,           0.0080626,              0.9318,             0.92847,             0.95067,              0.5146,            0.037647,            0.021971,            0.008222,            0.006832,            0.006832,            0.006832
                  66,            0.037091,            0.026043,           0.0077591,             0.91588,             0.92937,             0.95399,             0.51927,            0.037721,            0.021791,           0.0083539,           0.0067825,           0.0067825,           0.0067825
                  67,            0.037261,             0.02468,           0.0073611,             0.93631,             0.92138,               0.956,             0.55871,            0.035193,            0.021458,           0.0081579,            0.006733,            0.006733,            0.006733
                  68,             0.03721,            0.025416,           0.0074996,             0.94323,             0.93072,               0.953,             0.52271,            0.037195,            0.021904,           0.0081185,           0.0066835,           0.0066835,           0.0066835
                  69,            0.035772,            0.025448,           0.0075835,             0.92751,             0.91181,             0.93723,             0.51384,            0.036657,            0.022124,            0.008035,            0.006634,            0.006634,            0.006634
                  70,            0.037443,            0.027441,           0.0075028,             0.93088,             0.92145,             0.94871,             0.55258,            0.035404,            0.021607,            0.007988,           0.0065845,           0.0065845,           0.0065845
                  71,            0.036803,             0.02612,            0.007587,             0.93469,              0.9428,             0.94967,             0.54154,            0.035889,            0.021335,           0.0079071,            0.006535,            0.006535,            0.006535
                  72,            0.035251,            0.025791,           0.0074008,             0.95949,             0.93559,             0.96541,             0.57258,            0.035014,            0.021353,           0.0078824,           0.0064855,           0.0064855,           0.0064855
                  73,            0.036995,            0.024743,            0.007534,             0.95895,              0.9372,             0.96618,             0.56294,             0.03534,            0.021898,           0.0077653,            0.006436,            0.006436,            0.006436
                  74,            0.035554,            0.025035,           0.0074335,             0.95222,             0.93907,             0.96524,             0.52363,            0.036541,            0.021685,           0.0076676,           0.0063865,           0.0063865,           0.0063865
                  75,            0.036634,            0.027813,           0.0075463,             0.95557,             0.93704,             0.96469,              0.5686,            0.034835,            0.021766,           0.0075699,            0.006337,            0.006337,            0.006337
                  76,            0.036775,            0.025881,           0.0071844,             0.95725,             0.93936,             0.96003,             0.54746,            0.035813,            0.021651,           0.0076817,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034857,            0.026399,           0.0071697,             0.94027,             0.92415,             0.94194,             0.54945,            0.035533,            0.021416,           0.0076503,            0.006238,            0.006238,            0.006238
                  78,            0.036161,            0.024831,           0.0072397,             0.95177,             0.93954,              0.9623,             0.55098,            0.035332,            0.021262,           0.0077708,           0.0061885,           0.0061885,           0.0061885
                  79,            0.035551,            0.025245,           0.0069354,             0.95215,             0.93936,             0.95436,             0.55664,            0.035112,            0.021225,           0.0076118,            0.006139,            0.006139,            0.006139
                  80,             0.03457,            0.026082,           0.0071946,             0.95656,             0.93368,             0.95072,             0.57357,            0.035751,             0.02137,           0.0076493,           0.0060895,           0.0060895,           0.0060895
                  81,            0.035756,            0.025125,           0.0071592,             0.95608,             0.93716,             0.96118,             0.55861,            0.035802,            0.021459,           0.0077229,             0.00604,             0.00604,             0.00604
                  82,             0.03406,            0.025162,           0.0074835,             0.95632,             0.94217,             0.96216,             0.56013,            0.035104,            0.021292,           0.0077318,           0.0059905,           0.0059905,           0.0059905
                  83,              0.0336,            0.026532,           0.0071552,             0.95248,             0.93896,             0.96398,             0.57802,            0.035149,            0.021844,           0.0078052,            0.005941,            0.005941,            0.005941
                  84,            0.033231,            0.024499,           0.0067329,             0.93855,             0.94554,             0.96295,             0.57306,            0.035597,            0.021993,           0.0078901,           0.0058915,           0.0058915,           0.0058915
                  85,            0.033095,            0.024933,           0.0068368,             0.95106,             0.93008,             0.96128,             0.55812,            0.036095,            0.022302,           0.0078952,            0.005842,            0.005842,            0.005842
                  86,            0.033238,            0.026621,           0.0069826,             0.95881,             0.95036,             0.96359,             0.56667,            0.035686,            0.022058,            0.007962,           0.0057925,           0.0057925,           0.0057925
                  87,            0.033494,            0.025186,           0.0071179,             0.95894,             0.94667,              0.9616,             0.55768,            0.035484,            0.022246,           0.0081027,            0.005743,            0.005743,            0.005743
                  88,            0.033012,            0.024691,           0.0071984,              0.9558,             0.95874,             0.96295,             0.57188,            0.035771,            0.022032,           0.0081935,           0.0056935,           0.0056935,           0.0056935
                  89,            0.034101,            0.026013,            0.006753,             0.96329,             0.95618,             0.96565,             0.55227,            0.036534,            0.022123,           0.0078668,            0.005644,            0.005644,            0.005644
                  90,            0.033707,            0.026403,            0.006757,             0.95436,             0.93529,              0.9629,             0.55922,            0.036196,             0.02231,           0.0077786,           0.0055945,           0.0055945,           0.0055945
                  91,            0.034344,             0.02409,            0.006654,              0.9279,             0.96541,             0.96253,             0.55275,            0.036438,            0.021961,           0.0077505,            0.005545,            0.005545,            0.005545
                  92,            0.034761,            0.024866,           0.0070498,             0.91684,             0.96961,             0.96253,             0.54919,            0.036497,            0.021799,           0.0077036,           0.0054955,           0.0054955,           0.0054955
                  93,            0.032826,            0.022976,           0.0073409,             0.94318,             0.94593,             0.96178,             0.56429,            0.035812,            0.022124,           0.0076781,            0.005446,            0.005446,            0.005446
                  94,            0.033101,            0.024548,           0.0066834,             0.95299,             0.94086,             0.95944,             0.58428,            0.035405,            0.022168,           0.0077422,           0.0053965,           0.0053965,           0.0053965
                  95,            0.033402,            0.025115,           0.0067408,             0.95408,             0.94199,             0.95767,             0.56036,            0.035232,            0.022101,           0.0077705,            0.005347,            0.005347,            0.005347
                  96,            0.033137,            0.025501,           0.0071615,             0.95073,             0.93922,             0.96592,              0.5703,            0.034702,            0.022176,           0.0078234,           0.0052975,           0.0052975,           0.0052975
                  97,            0.033911,            0.023985,           0.0067929,             0.95036,             0.94566,              0.9621,             0.57629,            0.035127,            0.022443,           0.0076785,            0.005248,            0.005248,            0.005248
                  98,            0.032015,             0.02345,           0.0069297,             0.96343,             0.93065,             0.96364,             0.59253,            0.034484,            0.022311,           0.0077693,           0.0051985,           0.0051985,           0.0051985
